,,Structural Error: SDF/MAE based import should display ID column instead of SMILES in table - import feedback dialog,,,SS-39685,,,,,,OK,,,
,,Other Errors: Generic Error dialog with following message: 'Please email help@schrodinger.com and provide this error code in the email <error_code>',,,"No need to test this error as this cannot be triggered. If triggered, file a bug and mention details so it can be handled in future",,,,,,OK,,,
Biologics Import,Biologics_FF,Check status of ENABLE_BIOLOGICS to access Bio-features,,,,,,,,,N/A,,,
,Basic UI,Biologics Import UI: Bio-import option should be present,,,,,,,,,OK,,,
,,Biologics Import UI: Entity/ Entity lot and Experiments import options,,,,,,,,,OK,,,
,,Click on Folder Icon should open local directory,,,,,,,,,OK,,,
,FASTA,FASTA import: Check import for all the Entity types ,test_import_biologics_fasta_multi,,,,AUTO_PASS,,,,AUTO_PASS,,OK,AUTO_PASS
,,Check import for separate and single entity,,,,,,,,,OK,,,
,,"Upload a single fasta file containing multiple sequences (must be peptide, ssDNA/ssRNA)",test_import_biologics_fasta_multi,,,,AUTO_PASS,,,,AUTO_PASS,,OK,AUTO_PASS
,,"If the importing ID matches preexisting ID, the 'Next' button should be greyed out.",,,SS-46853,,,,,,OK,,,
,,Importing a file with ambigous format does not cause it to loop at 'Loading' page.,,,SS-46847,,,,,,OK,,,
,,FASTA Import: Fasta file should not allow import of non-standard amino acid.,,,,,,,,,OK,,,
,,The Next should not be available until all the chains have been mapped. ,test_import_biologics_fasta_multi,,,,AUTO_PASS,,,,AUTO_PASS,,OK,AUTO_PASS
,,"After importing a DNA/RNA file, the sequence viewer should not show 'I' as a nucleotide.",,,,,,,,,OK,,,
,,Full sequence header should be visible when hovered over the fasta headers.,,,SS-45458,,,,,,OK,,,
,,Lot Property columns are not present while mapping fasta headers.,,,SS-45652,,,,,,OK,,,
,,Downloading an imported should be imported without any error. ,,,SS-47511,,,,,,OK,,,
,,Going back and unchecking the LiveDesign ID option should not have empty columns,,,SS-47563,,,,,,OK,,,
,,Table header should mention Fasta header and chain instead of CSV property and LiveDesign columns. ,,,SS-45455,,,,,,OK,,,
,,"Biologic Entity Import file formats: FASTA, HELM, ZIP of HELM & FASTA, CSV with sequence columns containing monomer strings, and CSV with sequence column containing HELM.",,,SS-45593,,,,,,OK,,,
,,"Entity types: ssRNA, dsDNA, peptide, Fv, Fab, Fab2, monoclonal Ab, bispecific Ab etc",test_import_biologics_fasta_single,,SS-45457,,AUTO_PASS,,,,AUTO_PASS,,OK,AUTO_PASS
,HELM,Select a HELM file to import,test_import_biologics_helm,,,,AUTO_PASS,,,,AUTO_PASS,,OK,AUTO_PASS
,,ID name should be the same as that of file name ,,,SS-41607,,,,,,OK,,,
,,Edit the ID: provide a new ID when conflicting IDs are present (no special characters are allowed except '-'),,,SS-46603,,,,,,OK,,,
,,"Check ""Use LiveDesign ID"" option for default LD ID (text under ID column should change and read as: LiveDesign ID assigned at registration)",,,,,,,,,OK,,,
,,"Check ""Only show rows with conflicts"" option for entities with conflicting IDs",,,,,,,,,OK,,,
,,LiveDesign should import the antibody that it exports.,,,SS-45971,,,,,,OK,,,
,,"If importing a HELM file, it should not add a new column called 'helm(undefined)'",,,SS-45281,,,,,,OK,,,
,,Import and export of a HELM file in different file formats should be done without any glitches.,,,SS-46120,,,,,,OK,,,
,,Check images in first column match entity type and for HELM peptides shows specified connectivity in beads on a string representation,,,,,,,,,OK,,,
,,"Check import of various entity types (Fv, Fab, Monospecific, Bispecific etc...)",test_import_biologics_helm,,,,AUTO_PASS,,,,AUTO_PASS,,OK,AUTO_PASS
,,Purge imported entities and try reimporting,,,SS-44396,,,,,,OK,,,
,,"For biologics that have subcomponents (branched peptides, Fv, Fab, Fab2, mAb, bispec Ab) - appropriate children/grandchildren entities should be created",,,,,,,,,OK,,,
,CSV,"Import a biologic with a new ID, but with the same sequence and entity type of an existing biologic, and check that the biologic is deduplicated, original biologic is added to the LR, and new ID is appended to the user ID column",,,,,,,,,OK,,,
,,Import a CSV file,test_import_biologics_csv,test_import_csv_properties,SS-45217,,AUTO_PASS,,,,AUTO_PASS,,OK,AUTO_PASS
,,Check import for separate and single entity,test_import_biologics_csv,,SS-47015,,AUTO_PASS,,,,AUTO_PASS,,OK,AUTO_PASS
,,"For Separate Entities, select entity type (Fv, Fab, Monospecific, Bispecific etc...)",test_import_biologics_csv,,SS-47042,,AUTO_PASS,,,,AUTO_PASS,,OK,AUTO_PASS
,,"Check ""Seqeunce provided"" option",test_import_biologics_csv,,,,AUTO_PASS,,,,AUTO_PASS,,OK,AUTO_PASS
,,Seqeunce Syntax: HELM/ Monomer String (If Sequence is provided),test_import_biologics_csv,,,,AUTO_PASS,,,,AUTO_PASS,,OK,AUTO_PASS
,,Select or Deselect Mapping options: ID/ SS/ AS,,,,,,,,,OK,,,
,,"If the sequence column is before the ID column, the Assign ID section should still be populated with the IDs from ID column and not with the sequence. ",,,SS-47380,,,,,,OK,,,
,,Entities should be imported when some columns are unchecked.,,,SS-46071,,,,,,OK,,,
,,Check if the empty sequence columns is being shown in resolve conflicts window. ,,,SS-42868,,,,,,LDIMPORT-1261: Biologics Import: CSV file containing an empty sequence does not show up in the Resolve Conflics window. ,,,
,,IDs should be editable (no special characters are allowed except '-'),,,,,,,,,OK,,,
,,"Check ""Use LiveDesign ID"" option for default LD ID (text under ID column should change and read as: LiveDesign ID assigned at registration)",,,,,,,,,OK,,,
,,"Check ""Only show rows with conflicts"" option for entities with conflicting IDs",,,,,,,,,OK,,,
,,"""Skip"" (donot import) is selected then Entities shouldn't be imported",,,,,,,,,OK,,,
,,"""Apply"" button should only come when ""Skip"" is selected",,,,,,,,,OK,,,
,ZIP,FASTA import: Check import for all the Entity types ,,,,,,,,,OK,,,
,,Mapping options should be present against a valid Entity type,,,,,,,,,OK,,,
,,FASTA Import: BE filter should be working properly.,,,SS-46572,,,,,,OK,,,
,,FASTA Import: Check Import for multiple entities in a single file. ,test_import_biologics_zip,,,,AUTO_PASS,,,,AUTO_PASS,,OK,AUTO_PASS
,,FASTA Import: Check import for multi-chain Biologic entity. ,test_fasta_zip_import,,,,AUTO_PASS,,,,AUTO_PASS,,OK,AUTO_PASS
,,FASTA Import: Sequence Provided and Sequence Syntax option should be deselected.,,,,,,,,,OK,,,
,,"""NEXT"" button should be greyed out until mapping is done properly",test_import_biologics_zip,,,,AUTO_PASS,,,,AUTO_PASS,,OK,AUTO_PASS
,,"FASTA Import: If the ID is already present, the Next Button should not be available in 'Assign IDs' window. ",test_import_biologics_zip,,SS-46853,,AUTO_PASS,,,,AUTO_PASS,,OK,AUTO_PASS
,,Toggle button-Show only conflicting rows,test_import_biologics_zip,,,,AUTO_PASS,,,,AUTO_PASS,,OK,AUTO_PASS
,,FASTA Import: Check import for peptides with non-natural amino acids.,,,,,,,,,OK,,,
,,"FASTA Import: If there is an error with the File import, the screen should directly go back to the Import Panel. ",,,SS-46847,,,,,,OK,,,
,,"Use Livedesign ID, in case of conflicting IDs are present",,,,,,,,,OK,,,
,,HELM Import: Check for the image opposite the entity.,,,SS-46401,,,,,,OK,,,
,,Check for the children and grandchildren for monospecific and bispecific antibodies.,,,,,,,,,OK,,,
,,HELM Import: Only Show Rows with conflicts is working properly.,,,,,,,,,OK,,,
,,HELM Import: Check import for all entity types. ,,test_import_zip_biologics,,,,,,,OK,,,
,121,Total Cases = 115,,,Percentage Complete,,,,0,0,100,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
LD 2026-1 Pass 3 (StartDate: 27/Jan/2025),,,,,,,,,,,,,,
,MS Edge,Firefox,Chrome,,,,,,,,,,,
PASS,0,0,0,,,,,,,,,,,
FAIL,0,0,0,,,,,,,,,,,
NOT TESTED,0,0,0,,,,,,,,,,,
BLANK,0,87,0,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Color Keys,,,,,,,,,,,,,,
Testers,,,,Statuses,,,,,,,,,,
Anu,,,,OK,,,,,,,,,,
Amrita,,,,Not Tested,,,,,,,,,,
Hannah,,,,NA,,,,,,,,,,
Ivy,,,,Incomplete,,,,,,,,,,
Prachi,,,,Broken,,,,,,,,,,
Naga Lakshmi,,,,Some problems,,,,,,,,,,
Nitin,,,,All OK,,,,,,,,,,
Pankhuri,,,,In Progress,,,,,,,,,,
Ramakrishna,,,,Not Tested Final,,,,,,,,,,
Rupal,,,,,,,,,,,,,,
Saheli,,,,,,,,,,,,,,
Soumya,,,,,,,,,,,,,,
Abdul,,,,,,,,,,,,,,
Utkarsh,,,,,,,,,,,,,,
Vishnu,,,,,,,,,,,,,,
